model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_resource,n_inputs_resources,cnn_filters_resources,sequence_length_resource,bram_18k,lut,ff,dsp48e
38430,Fit,11,16,16,16,16,64,22,18206,9001,48
26742,Not Fit,5,16,16,16,16,256,22,18206,9005,48
26743,Not Fit,8,16,16,16,16,128,22,18206,9003,48
26741,Not Fit,11,16,16,16,16,64,22,18206,9001,48
444,Fit,5,16,16,16,16,256,22,18206,9005,48
445,Fit,8,16,16,16,16,128,22,18206,9003,48
443,Fit,11,16,16,16,16,64,22,18206,9001,48
34460,Not Fit,5,16,16,16,16,256,22,18206,9005,48
34461,Not Fit,8,16,16,16,16,128,22,18206,9006,48
34459,Not Fit,11,16,16,16,16,64,22,18206,9001,48
46385,Not Fit,5,16,16,16,16,256,22,18206,9005,48
46386,Not Fit,8,16,16,16,16,128,22,18206,9003,48
46384,Not Fit,11,16,16,16,16,64,22,18206,9001,48
35151,Fit,5,16,16,16,16,256,22,18206,9005,48
35152,Fit,8,16,16,16,16,128,22,18206,9003,48
35150,Fit,11,16,16,16,16,64,22,18206,9001,48
30392,Not Fit,5,16,16,16,16,256,22,18206,9005,48
30393,Not Fit,8,16,16,16,16,128,22,18206,9003,48
30391,Not Fit,11,16,16,16,16,64,22,18206,9004,48
46199,Not Fit,5,16,16,16,16,256,22,18206,9005,48
46200,Not Fit,8,16,16,16,16,128,22,18206,9003,48
46198,Not Fit,11,16,16,16,16,64,22,18206,9001,48
20306,Not Fit,5,16,16,16,16,256,22,18206,9005,48
20307,Not Fit,8,16,16,16,16,128,22,18206,9006,48
20305,Not Fit,11,16,16,16,16,64,22,18206,9004,48
20137,Not Fit,5,16,16,16,16,256,22,18206,9005,48
20138,Not Fit,8,16,16,16,16,128,22,18206,9003,48
20136,Not Fit,11,16,16,16,16,64,22,18206,9001,48
2170,Not Fit,5,16,16,16,16,256,22,18206,9005,48
2171,Not Fit,8,16,16,16,16,128,22,18206,9003,48
2169,Not Fit,11,16,16,16,16,64,22,18206,9001,48
18642,Not Fit,5,16,16,16,16,256,22,18206,9005,48
18643,Not Fit,8,16,16,16,16,128,22,18206,9003,48
18641,Not Fit,11,16,16,16,16,64,22,18206,9001,48
26995,Not Fit,5,16,16,16,16,256,22,18206,9005,48
26996,Not Fit,8,16,16,16,16,128,22,18206,9003,48
26994,Not Fit,11,16,16,16,16,64,22,18206,9001,48
47937,Not Fit,5,16,16,16,16,256,22,18206,9005,48
47938,Not Fit,8,16,16,16,16,128,22,18206,9003,48
47936,Not Fit,11,16,16,16,16,64,22,18206,9001,48
27545,Not Fit,5,16,16,16,16,256,22,18206,9005,48
27546,Not Fit,8,16,16,16,16,128,22,18206,9006,48
27544,Not Fit,11,16,16,16,16,64,22,18206,9001,48
9180,Not Fit,5,16,16,16,16,256,22,18206,9005,48
9181,Not Fit,8,16,16,16,16,128,22,18206,9003,48
9179,Not Fit,11,16,16,16,16,64,22,18206,9001,48
45273,Not Fit,5,16,16,16,16,256,22,18206,9005,48
45274,Not Fit,8,16,16,16,16,128,22,18206,9006,48
45272,Not Fit,11,16,16,16,16,64,22,18206,9001,48
22004,Not Fit,5,16,16,16,16,256,22,18206,9005,48
22005,Not Fit,8,16,16,16,16,128,22,18206,9003,48
22003,Not Fit,11,16,16,16,16,64,22,18206,9001,48
17934,Not Fit,5,16,16,16,16,256,22,18206,9005,48
